"name","Store Number","latitude","longitude","url","sales_52w_py","CV ENERGY BOOST Sales","CV EXOTIC INDULGENCE Sales","CV ACAI ENERGIZE PWR Sales","CV PASSION BLISS Sales","CV FIT & WELLNESS Sales","CV CHIA SUPREMACY Sales","street_address","city","state","zip_code","country","phone_number_1","poblacion (10km)","digital_audience_facebook","digital_audience_instagram","digital_audience_twitter","digital_audience_linkedin","reviews","positive","negative","total_sales","campoverde_sales","digital_audience","Str #","sales_52w","var","sales_mix","velocity_ty_cv","velocity_ly","velocity_var","Qty TY","Qty LY","VAR","segment","sales_tier","",""
"Sikeston Supercenter","1","36.857394","-89.586051","https://www.walmart.com/store/9/sikeston-mo/details","2134.86","","","","","","","1303 S Main St","Sikeston","MO","63801","US","573-472-3020","111419","42785","28523","25626","31197","612","535","77","9623547","11372159","151910","9","1,936.85","-9.28%","","41.06","37.25","10.22%","175","195","-10.26%","","Topaz","",""
"Tahlequah Supercenter","2","35.888765","-94.979859","https://www.walmart.com/store/10/tahlequah-ok/details","0","","","","","","","2020 S Muskogee Ave","Tahlequah","OK","74464","US","918-456-8804","119839","46018","30679","27563","33555","668","560","108","32149819","33149417","171635","10","197.46","100.00%","","0","3.8","-100.00%","18","0","100.00%","","Quartz","",""
"Claremore Supercenter","3","36.293955","-95.627125","https://www.walmart.com/store/12/claremore-ok/details","0","90","0","63","76","75","59","1500 S Lynn Riggs Blvd","Claremore","OK","74017","US","918-341-2765","75722","29077","19385","17416","21202","590","251","339","2192317","31800379","62001","12","230.37","100.00%","","0","4.43","-100.00%","21","0","100.00%","","Quartz","",""
"Lebanon Supercenter","4","37.663493","-92.645849","https://www.walmart.com/store/14/lebanon-mo/details","27.98","","","","","","","1800 S Jefferson Ave","Lebanon","MO","65536","US","417-588-2268","121004","46466","30977","27831","33881","830","114","716","3137133","4381804","108927","14","0","-100.00%","","0","0","0.00%","0","6","-100.00%","","Amethyst","",""
"Commerce Supercenter","5","34.247854","-83.456616","https://www.walmart.com/store/3/commerce-ga/details","5297.22","","","","","","","30983 Highway 441 S","Commerce","GA","30529","US","706-335-7563","115226","44247","29498","26502","32263","191","115","76","38853990","16980273","185408","3","4,010.61","-24.29%","","101.87","77.13","32.08%","363","492","-26.22%","","Emerald","",""
"Neosho Supercenter","6","36.839161","-94.397282","https://www.walmart.com/store/17/neosho-mo/details","0","","","","","","","3200 Lusk Dr","Neosho","MO","64850","US","417-451-5544","99225","38102","25402","22822","27783","630","324","306","30164678","34398828","94120","17","175.52","100.00%","","0","3.38","-100.00%","16","0","100.00%","","Quartz","",""
"Saint Robert Supercenter","7","37.825154","-92.152265","https://www.walmart.com/store/21/saint-robert-mo/details","19.96","","","","","","","185 Saint Robert Blvd","Saint Robert","MO","65584","US","573-336-5103","78989","30332","20221","18167","22117","585","403","182","19722403","33070734","176482","21","0","-100.00%","","0","0","0.00%","0","2","-100.00%","","Amethyst","",""
"Poplar Bluff Supercenter","8","36.755728","-90.411818","https://www.walmart.com/store/19/poplar-bluff-mo/details","0","","","","","","","333 S Westwood Blvd","Poplar Bluff","MO","63901","US","573-686-6420","147631","56690","37794","33955","41337","287","109","178","9566276","9283399","64505","19","449.77","100.00%","","0","8.65","-100.00%","41","0","100.00%","","Quartz","",""
"Pryor Supercenter","9","36.262476","-95.330024","https://www.walmart.com/store/22/pryor-ok/details","0","56","1","60","29","0","29","4901 S Mill St","Pryor","OK","74361","US","918-825-6000","58224","22358","14905","13392","16303","429","265","164","25164384","31306108","121923","22","241.34","100.00%","","0","4.64","-100.00%","22","0","100.00%","","Quartz","",""
"Ruston Supercenter","10","32.543518","-92.624043","https://www.walmart.com/store/23/ruston-la/details","0","0","0","0","8","10","0","1201 N Service Rd E","Ruston","LA","71270","US","318-251-1168","51315","19705","13137","11802","14368","360","329","31","34299851","23182288","103684","23","197.46","100.00%","","0","3.8","-100.00%","18","0","100.00%","","Quartz","",""
